Entidad,Municipio, API_CODE
Chiapas ,Palenque ,SE41345
Chiapas ,Pantelhó ,SE41346
Chiapas ,Pantepec ,SE41347
Chiapas ,Pichucalco ,SE41348
Chiapas ,Pijijiapan ,SE41349
Chiapas ,Pueblo Nuevo Solistahuacán ,SE41350
Chiapas ,Rayón ,SE41351
Chiapas ,Reforma ,SE41352
Chiapas ,Sabanilla ,SE41353
Chiapas ,Salto de Agua ,SE41354
Chiapas ,San Andrés Duraznal ,SE41355
Chiapas ,San Cristóbal de las Casas ,SE41356
Chiapas ,San Fernando ,SE41357
Chiapas ,San Juan Cancuc ,SE41358
Chiapas ,San Lucas ,SE41359
Chiapas ,Santiago el Pinar ,SE41360
Chiapas ,Siltepec ,SE41361
Chiapas ,Simojovel ,SE41362
Chiapas ,Sitalá ,SE41363
Chiapas ,Socoltenango ,SE41364
Chiapas ,Solosuchiapa ,SE41365
Chiapas ,Soyaló ,SE41366
Chiapas ,Suchiapa ,SE41367
Chiapas ,Suchiate ,SE41368
Chiapas ,Sunuapa ,SE41369
Chiapas ,Tapachula ,SE41370
Chiapas ,Tapalapa ,SE41371
Chiapas ,Tapilula ,SE41372
Chiapas ,Tecpatán ,SE41373
Chiapas ,Tenejapa ,SE41374
Chiapas ,Teopisca ,SE41375
Chiapas ,Tila ,SE41376
Chiapas ,Tonalá ,SE41377
Chiapas ,Totolapa ,SE41378
Chiapas ,Tumbalá ,SE41379
Chiapas ,Tuxtla Chico ,SE41380
Chiapas ,Tuxtla Gutiérrez ,SE41381
Chiapas ,Tuzantán ,SE41382
Chiapas ,Tzimol ,SE41383
Chiapas ,Unión Juárez ,SE41384
Chiapas ,Venustiano Carranza ,SE41385
Chiapas ,Villa Comaltitlán ,SE41386
Chiapas ,Villa Corzo ,SE41387
Chiapas ,Villaflores ,SE41388
Chiapas ,Yajalón ,SE41389
Chiapas ,Zinacantán ,SE41390
Chiapas ,No identificado -Chiapas ,SE41391
Chihuahua ,Ahumada ,SE41392
Chihuahua ,Aldama ,SE41393
Chihuahua ,Allende ,SE41394
Chihuahua ,Aquiles Serdán ,SE41395
Chihuahua ,Ascensión ,SE41396
Chihuahua ,Bachíniva ,SE41397
Chihuahua ,Balleza ,SE41398
Chihuahua ,Batopilas ,SE41399
Chihuahua ,Bocoyna ,SE41400
Chihuahua ,Buenaventura ,SE41401
Chihuahua ,Camargo ,SE41402
Chihuahua ,Carichí ,SE41403
Chihuahua ,Casas Grandes ,SE41404
Chihuahua ,Chihuahua ,SE41405
Chihuahua ,Chínipas ,SE41406
Chihuahua ,Coronado ,SE41407
Chihuahua ,Coyame del Sotol ,SE41408
Chihuahua ,Cuauhtémoc ,SE41409
Chihuahua ,Cusihuiriachi ,SE41410
Chihuahua ,Delicias ,SE41411
Chihuahua ,Dr. Belisario Domínguez ,SE41412
Chihuahua ,El Tule ,SE41413
Chihuahua ,Galeana ,SE41414
Chihuahua ,Gómez Farías ,SE41415
Chihuahua ,Gran Morelos ,SE41416
Chihuahua ,Guachochi ,SE41417
Chihuahua ,Guadalupe ,SE41418
Chihuahua ,Guadalupe y Calvo ,SE41419
Chihuahua ,Guazapares ,SE41420
Chihuahua ,Guerrero ,SE41421
Chihuahua ,Hidalgo del Parral ,SE41422
Chihuahua ,Huejotitán ,SE41423
Chihuahua ,Ignacio Zaragoza ,SE41424
Chihuahua ,Janos ,SE41425
Chihuahua ,Jiménez ,SE41426
Chihuahua ,Juárez ,SE41427
Chihuahua ,Julimes ,SE41428
Chihuahua ,La Cruz ,SE41429
Chihuahua ,López ,SE41430
Chihuahua ,Madera ,SE41431
Chihuahua ,Maguarichi ,SE41432
Chihuahua ,Manuel Benavides ,SE41433
Chihuahua ,Matachí ,SE41434
Chihuahua ,Matamoros ,SE41435
Chihuahua ,Meoqui ,SE41436
Chihuahua ,Morelos ,SE41437
Chihuahua ,Moris ,SE41438
Chihuahua ,Namiquipa ,SE41439
Chihuahua ,Nonoava ,SE41440
Chihuahua ,Nuevo Casas Grandes ,SE41441
Chihuahua ,Ocampo ,SE41442
Chihuahua ,Ojinaga ,SE41443
Chihuahua ,Praxedis G. Guerrero ,SE41444
Chihuahua ,Riva Palacio ,SE41445
Chihuahua ,Rosales ,SE41446
Chihuahua ,Rosario ,SE41447
Chihuahua ,San Francisco de Borja ,SE41448
Chihuahua ,San Francisco de Conchos ,SE41449
Chihuahua ,San Francisco del Oro ,SE41450
Chihuahua ,Santa Bárbara ,SE41451
Chihuahua ,Santa Isabel ,SE41452
Chihuahua ,Satevó ,SE41453
Chihuahua ,Saucillo ,SE41454
Chihuahua ,Temósachic ,SE41455
Chihuahua ,Urique ,SE41456
Chihuahua ,Uruachi ,SE41457
Chihuahua ,Valle de Zaragoza ,SE41458
Chihuahua ,No identificado -Chihuahua ,SE41459
Ciudad de México ,Álvaro Obregón ,SE41460
Ciudad de México ,Azcapotzalco ,SE41461
Ciudad de México ,Benito Juárez ,SE41462
Ciudad de México ,Coyoacán ,SE41463
Ciudad de México ,Cuajimalpa de Morelos ,SE41464
Ciudad de México ,Cuauhtémoc ,SE41465
Ciudad de México ,Gustavo A. Madero ,SE41466
Ciudad de México ,Iztacalco ,SE41467
Ciudad de México ,Iztapalapa ,SE41468
Ciudad de México ,La Magdalena Contreras ,SE41469
Ciudad de México ,Miguel Hidalgo ,SE41470
Ciudad de México ,Milpa Alta ,SE41471
Ciudad de México ,Tláhuac ,SE41472
Ciudad de México ,Tlalpan ,SE41473
Ciudad de México ,Venustiano Carranza ,SE41474
Ciudad de México ,Xochimilco ,SE41475
Ciudad de México ,No identificado -Ciudad de México ,SE41476
Durango ,Canatlán ,SE41477
Durango ,Canelas ,SE41478
Durango ,Coneto de Comonfort ,SE41479
Durango ,Cuencamé ,SE41480
Durango ,Durango ,SE41481
Durango ,El Oro ,SE41482
Durango ,General Simón Bolívar ,SE41483
Durango ,Gómez Palacio ,SE41484
Durango ,Guadalupe Victoria ,SE41485
Durango ,Guanaceví ,SE41486
Durango ,Hidalgo ,SE41487
Durango ,Indé ,SE41488
Durango ,Lerdo ,SE41489
Durango ,Mapimí ,SE41490
Durango ,Mezquital ,SE41491
Durango ,Nazas ,SE41492
Durango ,Nombre de Dios ,SE41493
Durango ,Nuevo Ideal ,SE41494
Durango ,Ocampo ,SE41495
Durango ,Otáez ,SE41496
Durango ,Pánuco de Coronado ,SE41497
Durango ,Peñón Blanco ,SE41498
Durango ,Poanas ,SE41499
Durango ,Pueblo Nuevo ,SE41500
Durango ,Rodeo ,SE41501
Durango ,San Bernardo ,SE41502
Durango ,San Dimas ,SE41503
Durango ,San Juan de Guadalupe ,SE41504
Durango ,San Juan del Río ,SE41505
Durango ,San Luis del Cordero ,SE41506
Durango ,San Pedro del Gallo ,SE41507
Durango ,Santa Clara ,SE41508
Durango ,Santiago Papasquiaro ,SE41509
Durango ,Súchil ,SE41510
Durango ,Tamazula ,SE41511
Durango ,Tepehuanes ,SE41512
Durango ,Tlahualilo ,SE41513
Durango ,Topia ,SE41514
Durango ,Vicente Guerrero ,SE41515
Durango ,No identificado -Durango ,SE41516
México ,Acambay ,SE41517
México ,Acolman ,SE41518
México ,Aculco ,SE41519
México ,Almoloya de Alquisiras ,SE41520
México ,Almoloya de Juárez ,SE41521
México ,Almoloya del Río ,SE41522
México ,Amanalco ,SE41523
México ,Amatepec ,SE41524
México ,Amecameca ,SE41525
México ,Apaxco ,SE41526
México ,Atenco ,SE41527
México ,Atizapán ,SE41528
México ,Atizapán de Zaragoza ,SE41529
México ,Atlacomulco ,SE41530
México ,Atlautla ,SE41531
México ,Axapusco ,SE41532
México ,Ayapango ,SE41533
México ,Calimaya ,SE41534
México ,Capulhuac ,SE41535
México ,Chalco ,SE41536
México ,Chapa de Mota ,SE41537
México ,Chapultepec ,SE41538
México ,Chiautla ,SE41539
México ,Chicoloapan ,SE41540
México ,Chiconcuac ,SE41541
México ,Chimalhuacán ,SE41542
México ,Coacalco de Berriozábal ,SE41543
México ,Coatepec Harinas ,SE41544
México ,Cocotitlán ,SE41545
México ,Coyotepec ,SE41546
México ,Cuautitlán ,SE41547
México ,Cuautitlán Izcalli ,SE41548
México ,Donato Guerra ,SE41549
México ,Ecatepec de Morelos ,SE41550
México ,Ecatzingo ,SE41551
México ,El Oro ,SE41552
México ,Huehuetoca ,SE41553
México ,Hueypoxtla ,SE41554
México ,Huixquilucan ,SE41555
México ,Isidro Fabela ,SE41556
México ,Ixtapaluca ,SE41557
México ,Ixtapan de la Sal ,SE41558
México ,Ixtapan del Oro ,SE41559
México ,Ixtlahuaca ,SE41560
México ,Jaltenco ,SE41561
México ,Jilotepec ,SE41562
México ,Jilotzingo ,SE41563
México ,Jiquipilco ,SE41564
México ,Jocotitlán ,SE41565
México ,Joquicingo ,SE41566
México ,Juchitepec ,SE41567
México ,La Paz ,SE41568
México ,Lerma ,SE41569
México ,Luvianos ,SE41570
México ,Malinalco ,SE41571
México ,Melchor Ocampo ,SE41572
México ,Metepec ,SE41573
México ,Mexicaltzingo ,SE41574
México ,Morelos ,SE41575
México ,Naucalpan de Juárez ,SE41576
México ,Nextlalpan ,SE41577
México ,Nezahualcóyotl ,SE41578
México ,Nicolás Romero ,SE41579
México ,Nopaltepec ,SE41580
México ,Ocoyoacac ,SE41581
México ,Ocuilan ,SE41582
México ,Otumba ,SE41583
México ,Otzoloapan ,SE41584
México ,Otzolotepec ,SE41585
México ,Ozumba ,SE41586
México ,Papalotla ,SE41587
México ,Polotitlán ,SE41588
México ,Rayón ,SE41589
México ,San Antonio la Isla ,SE41590
México ,San Felipe del Progreso ,SE41591
México ,San José del Rincón ,SE41592
México ,San Martín de las Pirámides ,SE41593
México ,San Mateo Atenco ,SE41594
México ,San Simón de Guerrero ,SE41595
México ,Santo Tomás ,SE41596
México ,Soyaniquilpan de Juárez ,SE41597
México ,Sultepec ,SE41598
México ,Tecámac ,SE41599
México ,Tejupilco ,SE41600
México ,Temamatla ,SE41601
México ,Temascalapa ,SE41602
México ,Temascalcingo ,SE41603
México ,Temascaltepec ,SE41604
México ,Temoaya ,SE41605
México ,Tenancingo ,SE41606
México ,Tenango del Aire ,SE41607
México ,Tenango del Valle ,SE41608
México ,Teoloyucán ,SE41609
México ,Teotihuacán ,SE41610
México ,Tepetlaoxtoc ,SE41611
México ,Tepetlixpa ,SE41612
México ,Tepotzotlán ,SE41613
México ,Tequixquiac ,SE41614
México ,Texcaltitlán ,SE41615
México ,Texcalyacac ,SE41616
México ,Texcoco ,SE41617
México ,Tezoyuca ,SE41618
México ,Tianguistenco ,SE41619
México ,Timilpan ,SE41620
México ,Tlalmanalco ,SE41621
México ,Tlalnepantla de Baz ,SE41622
México ,Tlatlaya ,SE41623
México ,Toluca ,SE41624
México ,Tonanitla ,SE41625
México ,Tonatico ,SE41626
México ,Tultepec ,SE41627
México ,Tultitlán ,SE41628
México ,Valle de Bravo ,SE41629
México ,Valle de Chalco Solidaridad ,SE41630
México ,Villa de Allende ,SE41631
México ,Villa del Carbón ,SE41632
México ,Villa Guerrero ,SE41633
México ,Villa Victoria ,SE41634
México ,Xalatlaco ,SE41635
México ,Xonacatlán ,SE41636
México ,Zacazonapan ,SE41637
México ,Zacualpan ,SE41638
México ,Zinacantepec ,SE41639
México ,Zumpahuacán ,SE41640
México ,Zumpango ,SE41641
México ,No identificado -México ,SE41642
Guanajuato ,Abasolo ,SE41643
Guanajuato ,Acámbaro ,SE41644
Guanajuato ,Apaseo el Alto ,SE41645
Guanajuato ,Apaseo el Grande ,SE41646
Guanajuato ,Atarjea ,SE41647
Guanajuato ,Celaya ,SE41648
Guanajuato ,Comonfort ,SE41649
Guanajuato ,Coroneo ,SE41650
Guanajuato ,Cortazar ,SE41651
Guanajuato ,Cuerámaro ,SE41652
Guanajuato ,Doctor Mora ,SE41653
Guanajuato ,Dolores Hidalgo Cuna de la Independencia Nal. ,SE41654
Guanajuato ,Guanajuato ,SE41655
Guanajuato ,Huanímaro ,SE41656
Guanajuato ,Irapuato ,SE41657
Guanajuato ,Jaral del Progreso ,SE41658
Guanajuato ,Jerécuaro ,SE41659
Guanajuato ,León ,SE41660
Guanajuato ,Manuel Doblado ,SE41661
Guanajuato ,Moroleón ,SE41662
Guanajuato ,Ocampo ,SE41663
Guanajuato ,Pénjamo ,SE41664
Guanajuato ,Pueblo Nuevo ,SE41665
Guanajuato ,Purísima del Rincón ,SE41666
Guanajuato ,Romita ,SE41667
Guanajuato ,Salamanca ,SE41668
Guanajuato ,Salvatierra ,SE41669
Guanajuato ,San Diego de la Unión ,SE41670
Guanajuato ,San Felipe ,SE41671
Guanajuato ,San Francisco del Rincón ,SE41672
Guanajuato ,San José Iturbide ,SE41673
Guanajuato ,San Luis de la Paz ,SE41674
Guanajuato ,San Miguel de Allende ,SE41675
Guanajuato ,Santa Catarina ,SE41676
Guanajuato ,Santa Cruz de Juventino Rosas ,SE41677
Guanajuato ,Santiago Maravatío ,SE41678
Guanajuato ,Silao ,SE41679
Guanajuato ,Tarandacuao ,SE41680
Guanajuato ,Tarimoro ,SE41681
Guanajuato ,Tierra Blanca ,SE41682
Guanajuato ,Uriangato ,SE41683
Guanajuato ,Valle de Santiago ,SE41684
Guanajuato ,Victoria ,SE41685
Guanajuato ,Villagrán ,SE41686
Guanajuato ,Xichú ,SE41687
Guanajuato ,Yuriria ,SE41688
Guanajuato ,No identificado -Guanajuato ,SE41689
Guerrero ,Acapulco de Juárez ,SE41690
Guerrero ,Acatepec ,SE41691
Guerrero ,Ahuacuotzingo ,SE41692
Guerrero ,Ajuchitlán del Progreso ,SE41693
Guerrero ,Alcozauca de Guerrero ,SE41694
Guerrero ,Alpoyeca ,SE41695
Guerrero ,Apaxtla ,SE41696
Guerrero ,Arcelia ,SE41697
Guerrero ,Atenango del Río ,SE41698
Guerrero ,Atlamajalcingo del Monte ,SE41699
Guerrero ,Atlixtac ,SE41700
Guerrero ,Atoyac de Álvarez ,SE41701
Guerrero ,Ayutla de los Libres ,SE41702
Guerrero ,Azoyú ,SE41703
Guerrero ,Benito Juárez ,SE41704
Guerrero ,Buenavista de Cuéllar ,SE41705
Guerrero ,Chilapa de Álvarez ,SE41706
Guerrero ,Chilpancingo de los Bravo ,SE41707
Guerrero ,Coahuayutla de José María Izazaga ,SE41708
Guerrero ,Cochoapa el Grande ,SE41709
Guerrero ,Cocula ,SE41710
Guerrero ,Copala ,SE41711
Guerrero ,Copalillo ,SE41712
Guerrero ,Copanatoyac ,SE41713
Guerrero ,Coyuca de Benítez ,SE41714
Guerrero ,Coyuca de Catalán ,SE41715
Guerrero ,Cuajinicuilapa ,SE41716
Guerrero ,Cualác ,SE41717
Guerrero ,Cuautepec ,SE41718
Guerrero ,Cuetzala del Progreso ,SE41719
Guerrero ,Cutzamala de Pinzón ,SE41720
Guerrero ,Eduardo Neri ,SE41721
Guerrero ,Florencio Villarreal ,SE41722
Guerrero ,General Canuto A. Neri ,SE41723
Guerrero ,General Heliodoro Castillo ,SE41724
Guerrero ,Huamuxtitlán ,SE41725
Guerrero ,Huitzuco de los Figueroa ,SE41726
Guerrero ,Iguala de la Independencia ,SE41727
Guerrero ,Igualapa ,SE41728
Guerrero ,Iliatenco ,SE41729
Guerrero ,Ixcateopan de Cuauhtémoc ,SE41730
Guerrero ,Zihuatanejo de Azueta ,SE41731
Guerrero ,José Joaquín de Herrera ,SE41732
Guerrero ,Juan R. Escudero ,SE41733
Guerrero ,Juchitán ,SE41734
Guerrero ,La Unión de Isidoro Montes de Oca ,SE41735
Guerrero ,Leonardo Bravo ,SE41736
Guerrero ,Malinaltepec ,SE41737
Guerrero ,Marquelia ,SE41738
Guerrero ,Mártir de Cuilapan ,SE41739
Guerrero ,Metlatónoc ,SE41740
Guerrero ,Mochitlán ,SE41741
Guerrero ,Olinalá ,SE41742
Guerrero ,Ometepec ,SE41743
Guerrero ,Pedro Ascencio Alquisiras ,SE41744
Guerrero ,Petatlán ,SE41745
Guerrero ,Pilcaya ,SE41746
Guerrero ,Pungarabato ,SE41747
Guerrero ,Quechultenango ,SE41748
Guerrero ,San Luis Acatlán ,SE41749
Guerrero ,San Marcos ,SE41750
Guerrero ,San Miguel Totolapan ,SE41751
Guerrero ,Taxco de Alarcón ,SE41752
Guerrero ,Tecoanapa ,SE41753
Guerrero ,Técpan de Galeana ,SE41754
Guerrero ,Teloloapan ,SE41755
Guerrero ,Tepecoacuilco de Trujano ,SE41756
Guerrero ,Tetipac ,SE41757
Guerrero ,Tixtla de Guerrero ,SE41758
Guerrero ,Tlacoachistlahuaca ,SE41759
Guerrero ,Tlacoapa ,SE41760
Guerrero ,Tlalchapa ,SE41761
Guerrero ,Tlalixtaquilla de Maldonado ,SE41762
Guerrero ,Tlapa de Comonfort ,SE41763
Guerrero ,Tlapehuala ,SE41764
Guerrero ,Xalpatláhuac ,SE41765
Guerrero ,Xochihuehuetlán ,SE41766
Guerrero ,Xochistlahuaca ,SE41767
Guerrero ,Zapotitlán Tablas ,SE41768
Guerrero ,Zirándaro ,SE41769
Guerrero ,Zitlala ,SE41770
Guerrero ,No identificado -Guerrero ,SE41771
Hidalgo ,Acatlán ,SE41772
Hidalgo ,Acaxochitlán ,SE41773
Hidalgo ,Actopan ,SE41774
Hidalgo ,Agua Blanca de Iturbide ,SE41775
Hidalgo ,Ajacuba ,SE41776
Hidalgo ,Alfajayucan ,SE41777
Hidalgo ,Almoloya ,SE41778
Hidalgo ,Apan ,SE41779
Hidalgo ,Atitalaquia ,SE41780
Hidalgo ,Atlapexco ,SE41781
Hidalgo ,Atotonilco de Tula ,SE41782
Hidalgo ,Atotonilco el Grande ,SE41783
Hidalgo ,Calnali ,SE41784
Hidalgo ,Cardonal ,SE41785
Hidalgo ,Chapantongo ,SE41786
Hidalgo ,Chapulhuacán ,SE41787
Hidalgo ,Chilcuautla ,SE41788
Hidalgo ,Cuautepec de Hinojosa ,SE41789
Hidalgo ,El Arenal ,SE41790
Hidalgo ,Eloxochitlán ,SE41791
Hidalgo ,Emiliano Zapata ,SE41792
Hidalgo ,Epazoyucan ,SE41793
Hidalgo ,Francisco I. Madero ,SE41794
Hidalgo ,Huasca de Ocampo ,SE41795
Hidalgo ,Huautla ,SE41796
Hidalgo ,Huazalingo ,SE41797
Hidalgo ,Huehuetla ,SE41798
Hidalgo ,Huejutla de Reyes ,SE41799
Hidalgo ,Huichapan ,SE41800
Hidalgo ,Ixmiquilpan ,SE41801
Hidalgo ,Jacala de Ledezma ,SE41802
Hidalgo ,Jaltocán ,SE41803
Hidalgo ,Juárez Hidalgo ,SE41804
Hidalgo ,La Misión ,SE41805
Hidalgo ,Lolotla ,SE41806
Hidalgo ,Metepec ,SE41807
Hidalgo ,Metztitlán ,SE41808
Hidalgo ,Mineral de la Reforma ,SE41809
Hidalgo ,Mineral del Chico ,SE41810
Hidalgo ,Mineral del Monte ,SE41811
Hidalgo ,Mixquiahuala de Juárez ,SE41812
Hidalgo ,Molango de Escamilla ,SE41813
Hidalgo ,Nicolás Flores ,SE41814
Hidalgo ,Nopala de Villagrán ,SE41815
Hidalgo ,Omitlán de Juárez ,SE41816
Hidalgo ,Pachuca de Soto ,SE41817
Hidalgo ,Pacula ,SE41818
Hidalgo ,Pisaflores ,SE41819
Hidalgo ,Progreso de Obregón ,SE41820
Hidalgo ,San Agustín Metzquititlán ,SE41821
Hidalgo ,San Agustín Tlaxiaca ,SE41822
Hidalgo ,San Bartolo Tutotepec ,SE41823
Hidalgo ,San Felipe Orizatlán ,SE41824
Hidalgo ,San Salvador ,SE41825
Hidalgo ,Santiago de Anaya ,SE41826
Hidalgo ,Santiago Tulantepec de Lugo Guerrero ,SE41827
Hidalgo ,Singuilucan ,SE41828
Hidalgo ,Tasquillo ,SE41829
Hidalgo ,Tecozautla ,SE41830
Hidalgo ,Tenango de Doria ,SE41831
Hidalgo ,Tepeapulco ,SE41832
Hidalgo ,Tepehuacán de Guerrero ,SE41833
Hidalgo ,Tepeji del Río de Ocampo ,SE41834
Hidalgo ,Tepetitlán ,SE41835
Hidalgo ,Tetepango ,SE41836
Hidalgo ,Tezontepec de Aldama ,SE41837
Hidalgo ,Tianguistengo ,SE41838
Hidalgo ,Tizayuca ,SE41839
Hidalgo ,Tlahuelilpan ,SE41840
Hidalgo ,Tlahuiltepa ,SE41841
Hidalgo ,Tlanalapa ,SE41842
Hidalgo ,Tlanchinol ,SE41843
Hidalgo ,Tlaxcoapan ,SE41844
Hidalgo ,Tolcayuca ,SE41845
Hidalgo ,Tula de Allende ,SE41846
Hidalgo ,Tulancingo de Bravo ,SE41847
Hidalgo ,Villa de Tezontepec ,SE41848
Hidalgo ,Xochiatipan ,SE41849
Hidalgo ,Xochicoatlán ,SE41850
Hidalgo ,Yahualica ,SE41851
Hidalgo ,Zacualtipán de Ángeles ,SE41852
Hidalgo ,Zapotlán de Juárez ,SE41853
Hidalgo ,Zempoala ,SE41854
Hidalgo ,Zimapán ,SE41855
Hidalgo ,No identificado -Hidalgo ,SE41856
Jalisco ,Acatic ,SE41857
Jalisco ,Acatlán de Juárez ,SE41858
Jalisco ,Ahualulco de Mercado ,SE41859
Jalisco ,Amacueca ,SE41860
Jalisco ,Amatitán ,SE41861
Jalisco ,Ameca ,SE41862
Jalisco ,Arandas ,SE41863
Jalisco ,Atemajac de Brizuela ,SE41864
Jalisco ,Atengo ,SE41865
